ROWS 16
COLS 16
WIDTH 16
HEIGHT 16
TEXTHEIGHT 0
SPACING 0
R: 255, G:255, B:255 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:204, B:204 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:153, B:153 HV:0.00, SV:0.00, VV:0.00 
R: 102, G:102, B:102 HV:0.00, SV:0.00, VV:0.00 
R: 051, G:051, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 000, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:204, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:153, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:102, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:051, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 000, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 051, G:051, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 102, G:102, B:102 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:153, B:153 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:204, B:204 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:255, B:255 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:204, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 000, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 000, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 000, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 000, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:153, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:204, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:204, B:102 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:153, B:102 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:102, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:051, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 000, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 000, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 000, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 000, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:000, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:255, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:205, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 051, G:051, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 102, G:102, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:153, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:204, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:255, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:153, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:102, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 051, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 102, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:000, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:051, B:102 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:000, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:255, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:255, B:102 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:204, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 102, G:102, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:153, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:204, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:255, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:102, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:051, B:000 HV:0.00, SV:0.00, VV:0.00 
R: 102, G:051, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 153, G:051, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:051, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:051, B:051 HV:0.00, SV:0.00, VV:0.00 
R: 204, G:051, B:102 HV:0.00, SV:0.00, VV:0.00 
R: 255, G:102, B:153 HV:0.00, SV:0.00, VV:0.00 
